current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Data Scientist,HP,9.2,"Python (Programming Language), python, Machine Learning, Natural Language Processing, Data Mining, Statistics, Data Analysis, Data Visualization, Data Modeling, R, Java, SQL, HTML, Microsoft Power BI, Flask, Neo4j, Regular Expressions, Web Scraping, Text Mining",Master of Technology - MTech,"Birla Institute of Technology and Science, Pilani","Explorer, Looker First Look, Python Statistics Essential Training, Introduction to Machine Learning, Data Science: Foundation, Python 3",Bengaluru,Karnataka,India,data_scientists
Senior Data Scientist,Walmart Global Tech India,7.1,"Artificial Intelligence (AI), Statistical Modeling, Data Analytics, Product Analytics, Machine Learning, Data Analysis, Python (Programming Language), GCP, Data Science, Shell Scripting, SQL, Google BigQuery, EDA, Spark, Jenkins, Nexus, Azkaban, Jira, Analytical Skills, Yarn, Data Visualization, MySQL, Microsoft Excel, Microsoft Office, Data Engineering, Predictive Analytics, Predictive Modeling, Object-Oriented Programming (OOP)",Masters of Science in Data Science,University of Arizona,"PG Diploma in Machine Learning and Artificial Intelligence , Machine Learning - II and Natural Language Processing, Statistics Essential and Machine Learning - I, Natural Language Processing, ML C13  Prep Course Completion Certificate",Bengaluru,Karnataka,India,data_scientists
Data Scientist,InnoWave,3.1,"Chatbot Development, Chatbot Responses, Chatbot Design, Knowledge Graphs, Cloud Storage, Cloud function , Google Cloud Platform (GCP), AgentSpace, Agent development kit(ADK), GitHub, Large Language Models (LLM), Amazon Web Services (AWS), Statistical Data Analysis, Statistics, Data Collection, Data Cleaning, Process Efficiency, Extract, Transform, Load (ETL), Knowledge Sharing, Attention to Detail, VBA Excel, Visual Basic for Applications (VBA), Data Engineering, NumPy, Microsoft Power Query, Microsoft Excel, Microsoft Power BI, Data Modeling, Storytelling, Interpersonal Communication, Data Quality, Dashboards, Statistical Concepts, Identifying Trends, Databases, Visualization, Business Analytics, Identifying New Opportunities, Big Data Analytics, Computer Vision, Critical Thinking, Natural Language Processing (NLP), Analytics, Mathematical Modeling, Apache Spark, Statistical Modeling, TensorFlow, Microsoft Office, Hadoop, Deep Learning, Artificial Intelligence (AI), Data Science, Data Visualization, Big Data, SQL, Tableau, Machine Learning, Pycharm, Project Management, Programmes, Presentations, Analytical Skills, Leadership, Problem Solving, Data Analytics, Learning, English, Communication, Data Analysis, Python (Programming Language), Pandas (Software), Anaconda, Seaborn",Master's degree,University of Calcutta,"Data Science and AI Certificate for Managers and Leaders, Deep Learning Fundamentals, Machine Learning with Python, Python 101 for Data Science, Sectoral Analytics Fundamental - Finance, Sectoral Analytics Fundamentals - HR, Sectoral Analytics Fundamentals -Marketing, Excel: Mother of Business Intelligence, Certificate of completion - Intro to ChatGPT and Generative AI",Bengaluru,Karnataka,India,data_scientists
Data Scientist,AB InBev,8.0,"Demand Supply Planning, Supply Chain Optimization, Azure Databricks, Financial Planning and Analysis (FP&A), Time Series Forecasting, Optimization Algorithms, Statistical Analysis, Artificial Intelligence (AI), PySpark, Demand Planning, Demand Forecasting, R Shiny, Chatbot Development, Text Analytics, Data Analysis, Research, Statistics, Business Analysis, Statistical Modeling, Data Science, Logistics Management, Programming, Deep Learning, Machine Learning, Data Mining, Data Visualization, Image Processing, SQL, SAS, SPSS, Microsoft Word, R (Programming Language), Microsoft PowerPoint, Python (Programming Language), Tableau, Natural Language Processing (NLP), Predictive Modeling, timeseries, Computer Vision, Time Series Analysis, Data Analytics, Microsoft Azure, Statistical Data Analysis, Microsoft Power BI, Forecasting, Predictive Analytics",Bachelor's degree,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Microsoft certified: Azure Data Scientist Associate,  DP-100: A-Z Machine Learning using Azure Machine Learning,  Deployment of Machine Learning Models, MLOps Fundamentals: CI/CD/CT Pipelines of ML with Azure Demo,  AWS SageMaker Practical for Beginners | Build 6 Projects, Machine Learning Deep Learning model deployment, Machine Learning In The Cloud With Azure Machine Learning, Microsoft Azure Cognitive Services Crash Course, Machine Learning No-Code Approach: Using Azure ML Studio, DP-100 Microsoft Azure Data Scientist Complete Exam Prep, Deep Learning: Advanced NLP and RNNs, EY Analytics - Data Visualization - Learning, EY Artificial Intelligence - Learning, Microsoft Power BI Desktop for Business Intelligence, NLP - Natural Language Processing with Python, SAS",Bengaluru,Karnataka,India,data_scientists
Assistant Manager,Deloitte,3.8,"Data Processing, Machine Learning, Natural Language Processing (NLP), Automated Machine Learning (AutoML), Convolutional Neural Networks (CNN), Image Processing, Python (Programming Language), C (Programming Language), Data Structures, Teamwork",Bachelor of Technology - BTech,The LNM Institute of Information Technology,,Bengaluru,Karnataka,India,data_scientists
Senior Data Scientist,ADA,6.1,"Time Management, Microsoft Excel, Strategy, Communication, Analytical Skills, Mathematics, Python (Programming Language), Machine Learning, WordPress, Deep Learning, SQL, Microsoft Power BI, Linear Regression, Logistic Regression, Convolutional Neural Networks (CNN)",BTech - Bachelor of Technology,Gurukula Kangri Vishwavidyalaya,"Deep Learning Specialization, Introduction to Programming Using Python, Neural Network Visualizer Web App with Python, Intro to ML: Image Processing, Wordpress Development",Bengaluru,Karnataka,India,data_scientists
Data scientist II,Uber,8.7,"Product Management, Exploratory Data Analysis, Shareholder Communications, Stakeholder Management, Creative Problem Solving, A/B Testing, Analytical Skills, Visualization, Product Strategies, Key Metrics, Analytics, Business Insights, Problem Solving, Product Analytics, Management, Microsoft Excel, Fusion360, Project Management, Leadership, Teamwork, Microsoft Power BI, Microsoft SQL Server, Data Analytics, SQL, Business Intelligence (BI), Data Visualization, Critical Thinking",Bachelor of Technology,National Institute of Technology Trichy,"Product Management Course, Analyzing and Visualizing Data with Microsoft Power BI",Bengaluru,Karnataka,India,data_scientists
Data Scientist,Jio,8.1,"Amazon Web Services (AWS), Microsoft Azure, Machine Tools, Data Modeling, Big Data, Extract, Transform, Load (ETL), Data Science, Natural Language Processing (NLP), GenAI, PySpark, Data Segmentation, Forecasting, React.js, Python (Programming Language), Machine Learning, Advanced SQL, Data Structures, Data Warehousing, Data Visualization, Statistical Data Analysis, Data Analysis, Deep Learning, Artificial Intelligence (AI), Informatica PowerCenter, Informatica Data Quality, Informatica MDM, C (Programming Language), Java, Unix, NoSQL, HiveQL, Hadoop, Data Sourcing, Statistical Inference, Data Cleansing, Exploratory Data Analysis, Linear Regression, Logistic Regression, k-means clustering, Random Forest, Decision Trees, XGBoost, Convolutional Neural Networks (CNN), ANN, Statistical Modeling, Machine Learning Algorithms, Hypothesis Testing, Neural Networks, Analytical Skills, Cluster Analysis, Predictive Analytics, Data Mining, Deep Neural Networks (DNN)",Master of Science - MS,Liverpool John Moores University,"Understanding and Visualizing Data with Python, Certified Big Data Professional, Certification in Embedded System, Advanced Java, Programming in C",Bengaluru,Karnataka,India,data_scientists
Junior Data Scientist,Chubb,2.6,"Pattern Recognition, Machine Learning Algorithms, Problem Solving, Data Engineering, Natural Language Processing (NLP), Tableau, Python (Programming Language), SQL, Database Management System (DBMS), Data Visualization, Statistics, Hypothesis Testing, ANOVA, Machine Learning, Scikit-Learn, Seaborn, Matplotlib, XGBoost, Gradient Boosting, Hierarchical Clustering, k-means clustering, Random Forest, K-Nearest Neighbors (KNN), Decision Trees, Linear Regression, Exploratory Data Analysis, Adobe Photoshop",PG Diploma,Great Lakes Institute of Management,,Bengaluru,Karnataka,India,data_scientists
Data Scientist,LSEG (London Stock Exchange Group),5.0,"Data Science, Machine Learning, Python (Programming Language), Data Analytics, Deep Learning, MongoDB, Computer Vision, Exploratory Data Analysis, Data Visualization, SQL Server Management Studio, Video Analytics, Object Detection, Object Segmentation, Image Processing, Optical Character Recognition (OCR), Statistical Modeling, Statistical Data Analysis, Python, Microsoft Power BI, Big Data, Artificial Intelligence (AI), Version Control, MySQL, HTML5, Cascading Style Sheets (CSS), Flask, SQL, Django, Core PHP, WordPress, Core Java, R (Programming Language), Tableau, Pandas, Seaborn, Keras, Git, Docker, Linux, GitHub, Big Data Analytics, Amazon EC2, Natural Language Processing (NLP), Predictive Analytics, NumPy, Scikit-Learn, PyCaret, RESTful architecture, OpenCV, Matplotlib, Digital Libraries, Data Analysis, Text Mining, Unstructured Data, Amazon Web Services (AWS)",Master of Computer Applications - MCA,BSA Crescent Institute of Science and Technology,"Microsoft Certified: Power Platform Fundamentals, Amazon Web Services Machine Learning Essential Training, NLP with Python for Machine Learning Essential Training, Predictive Customer Analytics, Building RESTful APIs with Flask, Deep Learning: Image Recognition, MySQL Essential Training, OpenCV for Python Developers, Processing Text with Python Essential Training, Learning Linux Command Line, A Crash Course in Data Science, AI For Everyone, Applied Machine Learning in Python, Applied Data Science with Python - Level 2, Data Analysis Using Python, Data Science Methodologies, Data Visualization Using Python, Deep Learning Essentials, Deep Learning using TensorFlow, Machine Learning with Python - Level 1, Machine Learning with Python, Python for Data Science, SQL and Relational Databases 101, Big Data Foundations - Level 1, Hadoop Foundations - Level 1, Hadoop Programming - Level 1, Short Term Training Programme on BIG DATA ANALYTICS FOR BUSINESS INTELLIGENCE",Bengaluru,Karnataka,India,data_scientists
