current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Data Engineer,Fractal,3.4,"PySpark, Azure Databricks, Google BigQuery, Microsoft Power BI, SAP BW On HANA, SAP BW, SQL, Python (Programming Language), Microsoft Excel, Team Leadership, Team Management",Bachelor of Technology - BTech,VIT_Vellore Institute of Technology ,"Gen AI, SAP Data Intelligence, Data Science Program",Bengaluru,Karnataka,India,data_engineers
Data Engineer,KPMG,8.3,"Elastic Stack (ELK), Pandas, Big Data, Data Engineering, PySpark, Cloudera, Continuous Integration and Continuous Delivery (CI/CD), Git, Jenkins, Red Hat Linux, Bash, Java, Python (Programming Language), Agile Methodologies, Gerrit, JIRA, Confluence, Mhweb, Linux, CI, Continuous Integration, python, NumPy, java, MySQL, SQL, Leadership, Tableau, Machine Learning, Hive, Hadoop",MSc,University of Mumbai,"Modernizing Data Lakes and Data Warehouses with Google Cloud, Convolutional Neural Networks in TensorFlow, Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning, Tableau Prep Builder, Data Analysis Using Python, Data Visualization Using Python, Tableau Desktop-I Fundamentals, Google Cloud Platform Big Data and Machine Learning Fundamentals, Machine Learning Foundations: A Case Study Approach, Neural Networks and Deep Learning, Databricks Certified Data Engineer Associate, Databricks Certified Associate Developer for Apache Spark 3.0, Academy Accreditation - Databricks Lakehouse Fundamentals",Bengaluru,Karnataka,India,data_engineers
Data Analyst,KPMG,2.1,"SQL, Entrepreneurship, Business Analysis, Business Strategy, Business Ethics, Profession Ethics, Snowflake Cloud, PySpark, Microsoft Power BI, Data Analysis, Reporting, KPI Dashboards, Power BI service, Data Science, Visualization Software, Data Mining, Written Communication, Analytics, Report Preparation, Presentation Design, Visualization, Data Integration, Communication, Data Warehousing, Tableau, Analytical Skills, Informatica, Extract, Transform, Load (ETL), Query Optimization, Data Modeling, Indexing, window functions, pivots in SQL, MySQL, Python (Programming Language), SQL (Intermediate) -includes complex joins, unions, and sub-queries, Microsoft SQL Server, Excel Dashboards",Bachelor's degree,RV College Of Engineering,"Academy Accreditation - Databricks Fundamentals, Cambridge Entrepreneurial Mindset Program, Microsoft Certified: Power BI Data Analyst Associate, Python  , SQL(Advanced), Tableau Certified, SQL(Intermediate) , SQL(Basic), Think SQL :Go from zero to Hero, Excel:Dashboard for Beginners, ETL Pipelines with informatica, The joy of computing using python",Bengaluru,Karnataka,India,data_engineers
Azure Data Engineer,Deloitte,4.4,"Azure Databricks, Microsoft Azure, PySpark, Azure Data Factory, Apache Spark, Microsoft Power BI, deltalake, Microsoft Power Automate, Microsoft Power Apps, Python (Programming Language), Stored Procedures, Azure Data Lake, Azure DevOps, SQL Azure, MySQL, Azure, Jira, Agile Environment, Databricks, Git, SQL Database, Extract, Transform, Load (ETL), Data Integration, Analytical Skills, Cloud Services, RDBMS, Big Data, Data Pipelines, Data Analytics, Computer Science, Visual Studio, SQL Server Integration Services (SSIS), Cloud Computing, Database Development, Azure Key Vault, Data Warehousing, Data Analysis, Microsoft SQL Server, Software Development Life Cycle (SDLC), Transact-SQL (T-SQL), Interpersonal Communication, Databases, Software Development, SQL, Data Engineering, DevOps, SSMS, SQL Server Management Studio, ETL, GitHub",Master of Computer Applications - MCA,Jain (Deemed-to-be University),"Databricks Certified Data Engineer Associate, Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Fundamentals, Academy Accreditation - Databricks Lakehouse Fundamentals, Microsoft Certified: Azure Data Engineer Associate",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Accenture,7.0,"Tableau, Snowflake, Amazon Web Services (AWS), Databricks, PySpark, Python, Java, MySQL, Project Management, C++, JavaScript, Microsoft Office, Microsoft Word, PHP, SQL, Spring MVC, Hibernate, Microsoft Excel, Management, Leadership, Team Management, Jira, Confluence, putty, teradata, snowflake, Cognos, IBM Cognos Analytics",Bachelor of Engineering - BE,Dayananda Sagar Institutions,,Bengaluru,Karnataka,India,data_engineers
Data Engineer,Fidelity Investments,5.0,"Data Models, Stored Procedures, Written Communication, Dashboards, Angular CLI, Talend, Microsoft Power BI, MongoDB, Data Analytics, PL/SQL, Oracle Database, Snowflake, SQL, Informatica, Data Analysis, Statistical Data Analysis, HTML, Python (Programming Language), R (Programming Language), C (Programming Language)",Bachelor of Technology - BTech,"Amrita School of Engineering, Bangalore","Learning Java, Machine Learning, HTML Essential Training, Learning R, Python Essential Training, AWS Academy Graduate - AWS Academy Cloud Foundations, SQL Masterclass: SQL for Data Analytics",Bengaluru,Karnataka,India,data_engineers
Senior Data Engineer,Fractal,9.2,"System Performance, Computer Science, Oracle Database, Data Models, Data Integrity, Machine Tool Selection, Metadata, Data Governance, Business Analysis, Data Engineering, Data Modeling, Critical Thinking, Python (Programming Language), Unix, Data Analysis, Data Conversion, Data Integration, RDBMS, Communication, Problem Solving, Databases, Data Warehousing, Extract, Transform, Load (ETL), ETL Tools, DataStage, Ibm datastage, PL/SQL, Oracle SQL Developer, SQL, Microsoft SQL Server, Scrum, Agile Methodologies, Software Development, SQL Server Integration Services (SSIS), Performance Tuning, Unit Testing, Business Intelligence (BI), SQL Server Management Studio",Bachelor of Technology - BTech,University of Kerala,,Bengaluru,Karnataka,India,data_engineers
Data Engineer,IBM,10.3,"IBM Watson, Query surge, Pydat, GitHub, Continuous Integration and Continuous Delivery (CI/CD), Apache Sqoop, Data Warehousing, Artificial Intelligence (AI), Big Data Analytics, Data Migration, Microsoft Azure, Qtest, Jira, Apache Spark, Hive, Azure db, Microsoft Power BI, Python (Programming Language), Telecommunications, GSM, 3G, Agile Methodologies, Big Data, Hadoop, HIVE, HBase, Cloudera, Graphx, IBM Db2, SQL",Bachelor of Engineering (B.E.),"Islamiah Inst. of Technology, BANGALORE","Microsoft Certified: Azure Fundamentals, IBM Agile Explorer, Insurance Industry Foundations",Bengaluru,Karnataka,India,data_engineers
Data Engineer - Scale 1 officer,Karnataka Bank,3.8,"Data Pipelines, PySpark, Data Models, Data Ingestion, Business Communications, DDL, Python (Programming Language), Microsoft Excel, Defining Requirements, Requirements Gathering, Microsoft Power Apps, Plain English, Data Visualization, Code Review, Data Analytics, PL/SQL, Unix, Unstructured Data, Troubleshooting, Oral Communication, Teamwork, Shell Scripting, HQL, Data Engineering, Databases, Agile Project Management, Extract, Transform, Load (ETL), Business Intelligence (BI), Email Etiquette, SQL Server Analysis Services (SSAS), SQL Server Reporting Services (SSRS), Google Cloud Platform (GCP), SQL, Data Warehousing, US Healthcare, DataStage, ETL Tools, Hadoop, Hive, Data Analysis, Big Data, SQL Server Integration Services (SSIS), C (Programming Language), Microsoft SQL Server, Microsoft PowerPoint, MySQL, Agile Methodologies, English, Communication, Analytical Skills, Presentations, Problem Solving, Management, Leadership",Bachelor of Engineering - BE,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,"Infosys Certified GCP Cloud Data Associate , Infosys Certified Google Associate Cloud Engineer , Infosys Certified Microsoft SSIS Developer , Infosys Global Agile Developer Certification , Infosys Certified Business Intelligence Associate ",Mysore,Karnataka,India,data_engineers
Senior Associate,PwC Acceleration Centers,9.5,"Extract, Transform, Load (ETL), Microsoft Office, Customer Service, Microsoft Excel, Management, Microsoft Word, PowerPoint, Public Speaking, Research, Project Management, Leadership, Engineering, Project Planning, Strategic Planning, English, C, HTML, AutoCAD, Adobe Photoshop, HTML5, CSS3, JavaScript, Informatica, Data Warehousing, SQL, Powershell, Business-to-Business (B2B), mft, b2b dx",B.Tech,KIIT University,"Migrating to Google Cloud, Reliable Google Cloud Infrastructure: Design and Process, Elastic Google Cloud Infrastructure: Scaling and Automation, Essential Google Cloud Infrastructure: Core Services, Essential Google Cloud Infrastructure: Foundation, Google Cloud Fundamentals: Core Infrastructure, AMCAT Certified Proficiency in English, AMCAT Certified in English Comprehension, AMCAT Certified in English Comprehension, AMCAT Certified Business Analyst, AMCAT Certified Business Analyst, AMCAT Certified Business Consultant, AMCAT Certified Customer Service Specialist, AMCAT Certified Data Processing Specialist, AMCAT Certified Data Processing Specialist, AMCAT Certified Software Development Trainee",Bengaluru,Karnataka,India,data_engineers
