current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Software Engineer,5paisa,4.4,"Next.js, React.js, Redux.js, WebSocket, HTLM5 Canvas, Google Tag Manager, Google Analytics, Attention to Detail, Sockets, Code Review, Responsiveness, Web Design, Web Applications, Communication, Programming, REST APIs, Problem Solving, Cross-browser Compatibility, Computer Science, Firebase, Tailwind CSS, Git, Front-End Design, Front-End Development, HTML5, TypeScript, Flutter, JavaScript, Dart, Cascading Style Sheets (CSS), HTML, Algorithms, Data Structures, Sass, MongoDB, Node.js, MySQL, C (Programming Language), Adobe Illustrator, Express.js",,Masai,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,PlanSource,3.2,"Visual Studio, Software Development, Programming, Customer Communication, Mobile Design, Usability, Logical Reasoning, Requirements Gathering, Logics, Code Design, Web Applications, Attention to Detail, Query Writing, Graphic Design Principles, Wireframing, User Experience (UX), Webpack, Web Technologies, Computer Science, Business Relationship Management, Responsive Web Design, jQuery, Vue.js, Git, HTML, Teamwork, SASS, JavaScript, HTML5, Cascading Style Sheets (CSS), User Stories, Debugging, Bootstrap (Framework), jQuery UI, Engineering, Communication, Problem Solving, Project Management, Leadership, English, Design, Microsoft Excel, Presentations, Python (Programming Language), Sketching, mandala drawing, Drawing, Portrait Drawing",Bachelor's degree,SJB Institute of Technology,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Tech Mahindra,5.2,"Agile Development, Semantic HTML, Jira, JSON, Representational State Transfer (REST), JavaScript Frameworks, Web Applications, MERN Stack, Amazon Web Services (AWS), Tailwind CSS, React Hooks, HTML, OAuth, Application Programming Interfaces (API), Database Management System (DBMS), GraphQL, Python (Programming Language), Troubleshooting, HTML CSS, Programming, Debugging, Web Application Development, JavaScript eXtension (JSX), Web Technologies, Problem Solving, Node.js, Software Development, Object-Oriented Programming (OOP), Material-UI, REST APIs, TypeScript, Redux saga, MongoDB, SQL, Redux.js, Redux Toolkit, State Management, Redux, Document Object Model (DOM), Web Development, GitHub, Git, React.js, JavaScript, Cascading Style Sheets (CSS), HTML5, Front-End Development, Robotic Process Automation (RPA), UiPath, C#, .NET Framework",Bachelor's degree,"Shivaji University, Kolhapur",UiPath Certified Advanced RPA Developer v1.0,Bengaluru,Karnataka,India,frontendFinal
Senior Fronend Engineer,Sporty Group,10.0,"Application Architecture, Web Development, Algorithms, Node.js, AngularJS, jQuery, Programming, HTML5, IonicFramework, JavaScript, Linux, Bootstrap, Cascading Style Sheets (CSS), SQL, HTML, MySQL, MongoDB, OpenUI5, CSS3, wit.ai, api.ai, React.js, React Native, Ruby on Rails, Git, Front-End Development",Bachelor of Engineering (B.E.),Visvesvaraya Technological University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,SlidesAI.io,3.3,"Artificial Intelligence (AI), Software Infrastructure, Engineering, High Performance Computing (HPC), Server Side, Computer Architecture, Responsiveness, JSON Web Token (JWT), JSON, Amazon S3, Kubernetes, Microservices, Amazon EC2, Progressive Web Applications (PWAs), Code Review, Product Vision, web3.js, Computer Science, Skill Development, Business Requirements, Agile Development, Programming, Backend , React Native, TypeScript, Prisma, Express.js, Amazon Web Services (AWS), Next.js, NoSQL, Redux.js, REST APIs, Git, SQL, Application Programming Interfaces (API), JavaScript, Node.js, MongoDB, MERN Stack, Responsive Web Design, Front-End Development, Web Development, English, Tailwind CSS, React.js",Intermediate,Jawahar Navodaya Vidyalaya - JNV,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,edock.in,0.3,"Tailwind CSS, Socket.io, MERN Stack, MongoDB, MySQL, Express.js, User Interface Design, User Experience (UX), Node.js, TypeScript, React router, styled-components, Redux, Canva, React.js, Cascading Style Sheets (CSS), JavaScript, Python (Programming Language), C (Programming Language), Figma (Software), HTML, Java",Bachelor of Engineering - BE,Nitte Meenakshi Institute of Technology,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Google,4.3,"Snapchat, React.js, JavaScript, MySQL, Algorithms, Data Structures, Computer Science, Front-end Development, Cascading Style Sheets (CSS), C (Programming Language), C++, HTML, HTML5, Node.js, Embedded JavaScript (EJS), MongoDB, Java, GitHub, Bootstrap, jQuery, Git, Back-End Web Development, Application Programming Interfaces, Full-Stack Development",Bachelor of Technology - BTech,The LNM Institute of Information Technology,"Problem solving, Git and Github workshop, Hackathon, Lifelong Learning Programs from upGrad
, Algorithmic toolbox, Data structure, Algorithms on Graphs, Game Development workshop, Introduction to Programming Using  CSS, Introduction to Programming Using HTML , Volunteer",Bengaluru,Karnataka,India,frontendFinal
Engineering Lead,314e Corporation,6.2,"Healthcare, Software Development, TypeScript, Front-end Development, JavaScript, React.js, React Native, Web Development, HTML, Cascading Style Sheets (CSS)",Bachelor of Engineering - BE,Acharya Institute Of Technology,,Bengaluru,Karnataka,India,frontendFinal
Associate Staff Engineer,Nagarro,10.7,"Bootstrap (Framework), Next.js, JavaScript, angular, html, Object-Oriented Programming (OOP), Web Design, Responsive Web Design, Front-end Development, Bootstrap, HTML, css, Git, NgRx, Ionic Framework, Angular Material, RxJS, JSON, Angular, git, SASS, bootstrap, jquery, Leaflet, TypeScript, Single Page Applications, Web Application Development, HTML5, Cascading Style Sheets (CSS)",Master’s Degree,"St. Michael College of Engineering and Technology, Kalayarkoil, Sivagangai Dist",,Cochin,Kerala,India,frontendFinal
Senior Software Engineer,Walmart Global Tech India,10.8,"Critical Thinking, React.js, JavaScript, Problem Solving, Data Structures, Front-end Development, Web Development, Web Applications, React Hooks, Agile Methodologies, Software Development, Object-Oriented Programming (OOP), Responsive Web Design, HTML5, Node.js, Redux.js, HTML, Cascading Style Sheets (CSS), es6, redux, Jest, Bootstrap, css3, CSS3, SASS, Webpack, GitHub, JSON, Git, jQuery, SQL, Ethical Hacking, Express.js",Bachelor of Technology - BTech,"Dev Bhoomi Group of Institutions, Dehradun","React Hooks, Learning webpack 4, Javascript (Intermediate), React ",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Becons light ,3.5,"Software Development, MERN Stack, Tailwind CSS, Redux, Database Management System (DBMS), Artificial Intelligence (AI), Front-end Coding, Components, Git, Entity Framework, C (Programming Language), ASP.NET, ASP.NET MVC, JavaScript Frameworks, Node.js, Events, React Native, Databases, Bootstrap, Design Patterns, Object-Oriented Programming (OOP), JSON, User Interface Design, jQuery, Search Engine Optimization (SEO), Algorithms, Document Object Model (DOM), JavaScript eXtension (JSX), Data Structures, React Hooks, Web Applications, Responsive Web Design, HTML5, ECMAScript, SQL, C#, .NET Core, WordPress, Back-End Web Development, Full-Stack Development, Front-End Development, Debugging, React.js, .NET Framework, HTML, Cascading Style Sheets (CSS), JavaScript, Web Design, Microsoft Azure, Web Development",Bachelor of Technology - BTech,Jaipur Engineering College and Research Centre (JECRC),"Programming with JavaScript, Introduction to Front-End Development, SHAPE AI, Microsoft Certified: Azure AI Fundamentals",Bengaluru,Karnataka,India,frontendFinal
Intern,Trinity Mobility,0.8,"Flask, MongoDB, Python (Programming Language), Git, HTML5, Maven, Relational Databases, Query Languages, RDBMS, REST APIs, Multithreading, Continuous Integration and Continuous Delivery (CI/CD), Web Applications, Programming Languages, C++, Agile Environment, Java Development, Web Development, Java Frameworks, Java API, Apache Kafka, Application Development, Databases, Oracle SQL Developer, Software Development, Programming, Oracle Database, MySQL, Spring Boot, Spring Framework, Microservices, Full-Stack Development, Front-End Development, Back-End Web Development, Jira, Amazon Web Services (AWS), Jenkins, Open API, Jdbc, Teamwork, Good communication , Team Leadership, Hibernate, Java Database Connectivity (JDBC), Problem Solving, PL SQL, HTML, Cascading Style Sheets (CSS), Software Development Life Cycle (SDLC), Agile Methodologies, JavaScript, Technical Presentations, Object-Oriented Programming (OOP), Core Java, Markup Languages, SQL, Presentations, Communication, C (Programming Language), Java",Bachelor of Engineering - BE,"Jain College of Engineering, BELGAUM",,Bengaluru,Karnataka,India,frontendFinal
Junior Software Engineer,The star in me,4.0,"Front-End Design, Responsive Web Design, Bootstrap, Git, GitHub, React.js, JavaScript, Redux.js, Redux Thunk, REST APIs, JavaScript eXtension (JSX), Web Development, HTML, Cascading Style Sheets (CSS), Microsoft Excel, AutoCAD, CATIA, Tailwind CSS",Bachelor of Technology,"Dayananda Sagar College of Engineering, BANGALORE",,Bengaluru,Karnataka,India,frontendFinal
Team Lead,360 ONE Wealth,12.9,"React.js, AngularJS, JavaScript, Software Development, Object-Oriented Programming (OOP), PHP, SQL, Java, CodeIgniter, jQuery, HTML, html 5, Core Java, MySQL",Bachelor of Engineering - BE,Visvesvaraya Technological University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Fluke Corporation,3.8,"Object-Oriented Programming (OOP), Debugging, HTML, Css, E-Commerce, Payment Gateways, Application Programming Interfaces (API), User Interface Design, Web Applications, Node.js, Express.js, Optimization Techniques, Material-UI, Continuous Delivery (CD), Problem Solving, User Experience (UX), Jest, Docker, Analytical Skills, Git, Redux.js, Agile Development, Front-End Development, C (Programming Language), C++, HTML5, Cascading Style Sheets (CSS), JavaScript, React.js, GitHub, Netlify, Data Structures, React , React Hooks, JSON, JavaScript Libraries, JavaScript eXtension (JSX), Vanilla JavaScript, JavaScript Frameworks, REST APIs, Creator Mode",Bachelor of Technology - BTech,Institute of Engineering and Technology,Triplebyte Certified,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Recro,7.9,"React.js, Angular , Node.js, Express.js, MongoDB, Enterprise Resource Planning (ERP), TypeScript, Progressive Web Applications (PWAs), HTML5, Git, Angular, AngularJS, JavaScript, Cascading Style Sheets (CSS), HTML, MySQL, JSON, Bootstrap, CSS Flexbox, SQL, Python (Programming Language), jQuery, AJAX, SASS, LESS (Stylesheet Language), Haml",Bachelor of computer applications,Panjab University,"Back End Development and APIs, Modern Web Design, Responsive Web Design Fundamental",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Retail Insights,6.8,"Scss, User Interface Design, Web Development, SASS, Salesforce B2B Commerce, AJAX, jQuery, Cascading Style Sheets (CSS), JavaScript, HTML5",Bachelor of Engineering - BE,MVSR Engineering College,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,InvestMates,0.6,"Hackathons, Git, Communication, Front-End Development, Front-end Coding, WordPress, Site Build, Real Estate Photography, Pro Photography , Graphic Design, Adobe Photoshop, Photo Shoots, Microsoft Office, Microsoft Excel, Microsoft PowerPoint, Social Media, SQL, Python (Programming Language), Human Resources (HR), Conferences, Working with Investors, Media Strategy, Video Editing",Bachelor of Technology - BTech,Visvesvaraya Technological University (VTU),,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Groww,2.6,"Tailwind CSS, Argo, Kubernetes, MongoDB, Github, Go (Programming Language), Express.js, DevOps, Docker, Google Cloud Platform (GCP), Elasticsearch, TypeScript, Linux, Amazon Web Services (AWS), Git, SQL, JavaScript, Next.js, Postman, AngularJS, NestJS, Microservices, C++, React.js, Java, HTML, MySQL, Vue.js, Flask, Django, Python (Programming Language), Adobe Photoshop, Adobe Illustrator, Leadership, Full-Stack Development",Bachelor of Technology - BTech,Siksha 'O'​ Anusandhan University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Liberty Latin America,8.9,"AngularJS, JavaScript, Cascading Style Sheets (CSS), HTML5, Core Java, Drupal, Front-End Development",Bachelor of Engineering - BE,SKSVMACET,"Drupal 9 Essential Training: 1 Introduction and Administration, JavaScript: Functions",Bengaluru,Karnataka,India,frontendFinal
Software Engineer 2,Microsoft,7.9,"C#, TypeScript, HTML5, Jest, Front-End Development, ES6, AngularJS, Webpack, React Native, React.js, Apollo GraphQL, JavaScript, C (Programming Language), Python (Programming Language), Css, W3C Accessibility",Bachelor of Technology - BTech,"National Institute of Technology, Tiruchirappalli",,,Andhra Pradesh,India,frontendFinal
Lead Software Engineer,Fidelity Investments,7.5,"Design Patterns, Algorithms, Data Structures, Spring Boot, TypeScript, RxJS, Python, Cascading Style Sheets (CSS), AngularJS, Shell Scripting, Writing, Agile Methodologies, Angular , SASS, C, Java Enterprise Edition, JavaScript, HTML5, Bootstrap, Oracle Database, Relational Databases, Microsoft Office, Linux, MySQL, PHP, C (Programming Language), Core Java, Angular Material, PL/SQL, Database Management System (DBMS), HTML, Web Standards, Accessibility, Computer Accessibility, Web Application Security, React.js, Secure Authentication, Node.js, REST APIs, Software Development Security, Web Development, Web Application Development, Web Content Optimization, Web Performance, Front-End Development",Bachelor of Technology - BTech,Future Institute Of Engineering and Management,"TOTAL: Conversation on Cryptography: w/ Mike Meyers, Learning Enterprise Web Application Performance, Accessibility Fundamentals - Disabilities, Guidelines, and Laws, Developing for Web Performance, Accessibility for Web Design, Creating Accessible Websites, Node.js: Securing RESTful APIs, Programming Foundations: Web Security, React: Securing Applications, Build Responsive Real World Websites with HTML5 and CSS3, AWS Cloud Practitioner Essentials (Second Edition), Infosys Certified Angular Professional, Python Certificate, HTML, CSS, and Javascript for Web Developers, AMCAT TOPPER",Bengaluru,Karnataka,India,frontendFinal
Customer Interface Specialist,NAVEX,4.6,"E-Commerce, Software Design, NextJ, ESLint, TypeScript, Project Planning, Front-End Development, UI/UX, Back-End Web Development, Next.js, Tailwind CSS, MongoDB, GitHub, Node.js, Express.js, React.js, Full-Stack Development, RDBMS, SQL, Software Development Engineer in Test, Selenium, JavaScript, Python (Programming Language), Programming, Web Development, Microsoft Excel, HTML, Java, Microsoft Office, Cascading Style Sheets (CSS)",BTech - Bachelor of Technology,Surendra Institute of Engineering and Management 261,Cutshort Certified Javascript - Advanced,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Simpl,3.7,"C++, Java,  Dsa, C#, C (Programming Language), Python (Programming Language), Team Management, Ecommerc, Technical Support, Teamwork, Quality Assurance, Problem Solving, E-Commerce, Front-End Development, Communication, Project Management, GitHub, Shopify, Shopify Plus, Testing, Figma (Software), Adobe XD, Application Programming Interfaces (API), Cascading Style Sheets (CSS), HTML, jQuery, Debugging, Optimization, Tailwind CSS, React.js, Document Object Model (DOM), JavaScript, Programming",BCA,"Rani Channamma University, Belagavi",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer III,Walmart Global Tech India,6.3,"Microsoft Office, Microsoft Excel, Microsoft Word, Programming, Angular, JavaScript, C++, c, HTML, Matlab, Cascading Style Sheets (CSS), Microsoft PowerPoint, Public Speaking, CSS Flexbox, Python (Programming Language), Football, Team Leadership, Teamwork, React.js, React Native",Bachelor of Engineering - BE,RV College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Everest Technology Solutions,4.7,"HTML5, Express.js, Node.js, Excel Dashboards, HTML, Cascading Style Sheets (CSS), JavaScript, SQL, Java, React.js",Bachelor's degree,Ksit,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Freelance (Self employed),2.8,"Programming, React.js, JavaScript, Freelancing",,,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Zeta,4.6,"Bootstrap (Framework), Vuetify, Vuex, HTML5, JavaScript, React.js, Redux.js, Vue.js, Java, HTML, Cascading Style Sheets (CSS), REST APIs, Node.js, Problem Solving, MySQL, SQL",Bachelor of Technology - BTech,Institute Of Engineering and Management,"Introduction to Front-End Development, Triplebyte Certified, Programming Foundations with JavaScript, HTML and CSS",Bengaluru,Karnataka,India,frontendFinal
Project Engineer,Wipro,5.2,"Pega CSA, Tailwind CSS, Next.js, Responsive Web Design, Java Script, Software Development, Maven, Sling Model, Slightly, Jenkins, Linux, Git, Amazon Web Services (AWS), GitHub, Object-Oriented Programming (OOP), JavaScript, Maven, Azure DevOps, Sightly , Sling Model, HTL, HTML, Front-End Development, Full-Stack Development, Sales force marketing cloud, Core Java, Adobe Experience Manager (AEM), Cascading Style Sheets (CSS), C (Programming Language), SQL, HTML5, Java",Bachelor of Technology - BTech,"Biju Patnaik University of Technology, Odisha","Pega system Architect, Microsoft Certified: Azure Fundamentals, JavaScript (Basic) Certificate, Responsive Web Design, JAVA full Stack Development, programming in C, Advanced telecommunication, Introduction to Programming Using Java",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Atlassian,20.4,"New Concepts, Hooks, Developer Tools, Defining Requirements, Constructive Feedback, Closures, Test Planning, Software Design, Communication, TypeScript, Cypress, JavaScript, AngularJS, Node.js, Python, LabVIEW, D3.js, React.js, react, HTML5, HTML, Cascading Style Sheets (CSS), Data Structures, Algorithms, Webpack, LESS (Stylesheet Language), SASS, Sass, Web Development, Front-end Development, Redux.js, redux",Bachelor of Engineering (BE),Sri Krishna College of Engineering and Technologies,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer 2,PayPal,4.0,"Software Design, Chakra, Cesium, TypeScript, Redux.js, WordPress, MySQL, React.js, C (Programming Language), HTML, Cascading Style Sheets (CSS), SASS, JavaScript, Front-end Development, Design, Javascript, jQuery, HTML5",Bachelor's degree,Visvesvaraya Technological University,"Hackerrank JavaScript Certificate, Responsive Website Basics: Code with HTML, CSS, and JavaScript, Front-End Web UI Frameworks and Tools: Bootstrap 4, Programming for Everybody (Getting Started with Python), JavaScript Algorithms and Data Structures, Python Data Structures",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,LexisNexis Risk Solutions,4.8,"Next.js, Redux.js, Front-End Development, React.js, Debugging, Material-UI, Cascading Style Sheets (CSS), JavaScript, C++, HTML, C (Programming Language), Node.js",Bachelor of Technology - BTech,"Chandigarh Group of Colleges, Landran, Punjab",,Bengaluru,Karnataka,India,frontendFinal
Senior Software Development Engineer,Brillio,8.4,"JavaScript, React Native, JSON, Bootstrap (Framework), Algorithms, Data Structures, Front-End Development, Full-Stack Development, HTML5, Cascading Style Sheets (CSS), MongoDB, React.js, Amazon S3, Git, Kubernates, Docker, Amazon Web Services (AWS), REST APIs, Node.js, Airtable, Jenkins, CircleCI, Angular, Angular Material",,,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Xoxoday,6.2,"TypeScript, Next.js, Full Stack Web Development, Python (Programming Language), Competitive Programming, Search Engine Optimization (SEO), HTML5, HTML, Cascading Style Sheets (CSS), JavaScript, Bootstrap, React.js, React Native, jQuery, Django, Adobe Photoshop, Linux, Github, redux, Front-end Development, GatsbyJS, material UI, GraphQL, WordPress",Bachelor's degree,University of Mumbai,"Python for Everybody Specialization, Python(Basic), HTML, CSS, and Javascript for Web Developer, Introduction to Git and GitHub, Responsive Web Design",Bengaluru,Karnataka,India,frontendFinal
Software Development Engineer,Zoom,6.2,"Storybook, SCSS, Tailwind CSS, Redux, Jest, Jekyll, Webflow, HTML5, jQuery, React.js, JavaScript, HTML, Cascading Style Sheets (CSS), PHP, Core Java, C (Programming Language), WordPress, Bootstrap, Microsoft Office, Google Analytics, Google Suite, jquery, AJAX, SQL, Front-end Development, HubSpot, Google Tag Manager, Git",Bachelor of Technology - BTech,"Kalinga Institute of Industrial Technology, Bhubaneswar",Google Analytics for Beginners,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,HashedIn by Deloitte,6.8,"Web Development, JavaScript, Java, User Interface, HTML, Cascading Style Sheets (CSS), C (Programming Language), Node.js, SQL, Bootstrap, React.js, Cloud Firestore, Firebase, Nodejs, REST API, MongoDB, Express.js, npm, Data Structures, Algorithms, React Native, Redux",Bachelor of Engineering - BE,Acharya Institute Of Technology,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer 2,MakeMyTrip,7.2,"Grafana, Scalyr, Aerospike, MySQL, Gin, NoSQL, Kong API Gateway, Git, RESTful WebServices, Sprint Planning, Skill Development, Analytical Skills, Communication, Technical Documentation, Code Review, Agile Development, Golang, Kubernetes, Jira, Jenkins, CircleCI, Sonarqube, Microservices, OAuth, Identity and Access Management (IAM), Go (Programming Language), gRPC, Python (Programming Language), Data Structures, Software Development, Programming, Amazon Web Services (AWS), Java, C, Python, SQL, Algorithm Analysis, Back-End Web Development, OAuth2.0, Okta, Okta Identity Cloud",Bachelor of Technology (B.Tech.),National Institute of Technology Karnataka,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Infomerica,8.4,"TypeScript, Software as a Service (SaaS), Agile Application Development, Scrum, Figma (Software), Confluence, Object Oriented Design, Technical Requirements, Business Requirements, JavaScript Object Model (JSOM), Document Object Model (DOM), IT Accessibility, Scalable Vector Graphics (SVG), SASS, Hooks, AJAX, Software Development, Version Control, REST APIs, Front-End Development, Git, Code Review, Redux.js, Cloud Core, React.js, GraphQL, CSS, HTML, JavaScript, Node.js, Continuous Integration and Continuous Delivery (CI/CD), Cloud Computing",Bachelor of Engineering - BE,Rajiv Gandhi Prodyogiki Vishwavidyalaya,"Cloud Core, JavaScript Algorithms and Data Structures, Responsive Web Design",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,SOLIZE India Technologies Private Limited ,4.3,"SQL, Full-Stack Development, Java, AngularJS, Python (Programming Language)",Bachelor of Technology - BTech,Vivekanandha College of Engineering for Women,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Bsol Systems Pvt Ltd,4.0,"JSON, Document Object Model (DOM), REST APIs, HTML5, CSS3, Front-End Development, Reactjs, JavaScript, Redux.js, Material-UI, Git, Responsive Web Design, Web Development, React.js",Bachelor of Engineering - BE,KS SCHOOL OF ENGINEERING AND MANAGEMENT,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,Deloitte,6.2,"react query, Jest, Git, Redux.js, JavaScript, React.js, Core Java, SQL, C, C++, HTML, Cascading Style Sheets (CSS), Linux, MongoDB, Node.js, Leadership, Management, Communication, English, Hindi",Bachelor of Engineering - BE,Chitkara University,"Front end developer , IVP EDM Level 1",Bengaluru,Karnataka,India,frontendFinal
Senior Software Development Engineer,MakeMyTrip,6.7,"Wireframing, Software Design, Front-End Design, Tailwind CSS, Front-End Development, TypeScript, Leadership, React.js, JavaScript, Redux.js, Cascading Style Sheets (CSS), Bootstrap, HTML5, Node.js",Bachelor's degree,"prof Ram Meghe Institute of Technology And Research ,Badnera-Amravati",,Bengaluru,Karnataka,India,frontendFinal
Test Automation Engineer,Ubix Systems,4.2,"Quality Assurance, TypeScript, QA Automation, Coding Experience, Testing, Software Infrastructure, Internet Software, Software Design, Katalon Studio, Katalon, TestNG, Eclipse, Selenium, Selenium WebDriver, Selenium Testing, Node.js, Express.js, React.js, Adobe Photoshop, Data Analysis, Account Management, HTML, HTML5, Cascading Style Sheets (CSS), Java, JavaScript, Python (Programming Language), Postman API, API Testing, SQL, Microsoft SQL Server, MySQL, PHP, WordPress, Microsoft Visual Studio Code, Jira, Microsoft Excel, Microsoft Office, Customer Service, Microsoft Word, Leadership, Research Skills, Negotiation, Time Management, Analytical Skills, Manual Testing, Customer Support, Customer Service Management, Test Automation, Automated Software Testing, Database Testing, Software Quality",Master's degree,Indira Gandhi National Open University,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Turing,7.3,"Fine Tuning, Supervised Learning, Dart, Start-up Leadership, Flutter, Scrum, HTML/CSS, Reflux, SASS, Cypress, Gulp, Webpack, Web Engineering, JavaScript, React.js, CSS3, Front-end Development, Software Development, Mathematics, HTML5, Node.js, Databases, JSON, Git, Github, Redux.js, Express.js, MongoDB, REST APIs, Bootstrap, Microsoft PowerPoint, Database Management System (DBMS), Ethics, TypeScript, Public Speaking, Computer Science, MERN Stack, Responsive Web Design, Data Structures, Algorithms, Leadership, Team Leadership, Web Development, Web Application Development, HTML, Cascading Style Sheets (CSS), ECMAScript, Full-Stack Development, MySQL, Artificial Intelligence (AI), Large Language Models (LLM)",Bachelor's degree,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur","Using Lightweight AI with Small Language Models, Javascript: Classes, M001: MongoDB Basics, LED Matrix Gaming, Google Tag Manager Fundamentals",Bengaluru,Karnataka,India,frontendFinal
Tester,Tata Electronics,1.4,"Intermediate JAVA, SQL, Microsoft Office, intermediate js, Intermediate DSA, Java, Bootstrap (Framework), Cascading Style Sheets (CSS), HTML",Bachelor's degree,Jamshedpur Women's University,"Alpha (DSA with Java), Internship",Bengaluru,Karnataka,India,frontendFinal
Project Engineer,Crio.Do,1.6,"JSON, Cloud Computing, GitHub, Git, E - Commerce & Tech Quiz, Debugging, Bootstrap (Framework), Redux.js, MySQL, Database Management System (DBMS), Data structures and Algorithms, Leadership, Operating Systems, Mobile Application Development, Node.js, React.js, Adobe Photoshop, JavaScript, Python (Programming Language), Cascading Style Sheets (CSS), HTML, C++",Bachelor of Engineering - BE,Sir M Visvesvaraya Institute Of Technology,"Flipkart Grid 5.0, MATLAB Onramp, Developer Program, Engineering Virtual Program",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,ClickSense Technologies,3.2,"Debugging, Data Visualization, State Management, Bundling, context api, HTML/CSS Validation, Material-UI, Website Authoring, Oral Communication, Databases, Workload Prioritization, User Assistance, English Grammar, Server Side, Cross-browser Compatibility, Web Architecture, Computer Science, Unit Testing, Algorithms, MERN Stack, Data Structures, Technical Documentation, Tailwind CSS, Object-Oriented Programming (OOP), Web Application Development, css3, GitHub, Version Control, Design Patterns, Express.js, MongoDB, redux, Image Editing, Document Object Model (DOM), Web Performance, Node.js, Software Development, Git, Web Content Optimization, Technical Requirements, Optimization Techniques, User Interface Design, Front-end Coding, Web Applications, React Hooks, JavaScript eXtension (JSX), Programming, Web Development, User Experience (UX), Responsive Web Design, HTML5, Bootstrap, Redux.js, Development Tools, JavaScript Object Model (JSOM), Front-End Development, REST APIs, Babel.js, React.js, JavaScript, Cascading Style Sheets (CSS), HTML, English, Engineering, Communication, Training, Problem Solving",Bachelor of Engineering - BE,Yeshwantrao Chavan College of Engineering - YCCE,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Lato Technologies,0.5,"Version controler, Computer Competency, Information Technology, Researching New Technologies, Information Technology Training, Teamwork, GitHub, Industrial Internet of Things (IIoT), Python (Programming Language), Design, Angular, Technology Education, HTML, Real-time Data, Oracle SQL Developer, Phishing, TypeScript, AngularJS, HTML5, JavaScript, Css3, Microsoft Power BI, Figma, Web Applications, Web Design, Web Development, Front-End Development, Cascading Style Sheets (CSS)",Bachelor of Technology - BTech,"Adhiparasakthi Engineering College, Melmaruvathur",,Chennai,Tamil Nadu,India,frontendFinal
Frontend Developer,CodeePpoint,0.5,"Web Development, Responsive Web Design, Cascading Style Sheets (CSS), Python (Programming Language), SQL, React Native, JavaScript, C (Programming Language), Bootstrap (Framework), React.js, Web Pages, HTML, Web developer, Engineering, Project Management, Design, Management, Problem Solving, Leadership, Training, Customer Service",Master of Computer Applications - MCA,"Global Institute of Management (GIM), Bhubaneswar",,Bhubaneswar,Odisha,India,frontendFinal
Software Engineer,doodleblue Innovations,3.8,"Vuex, Project Planning, Vue.js, React, Next js, Next.js, TypeScript, Tailwind CSS, Jest, UI Developer, React Developer, Software Engineer, Front-End Development, Es6, Redux, Software Development, React.js,  redux, JavaScript, Cascading Style Sheets (CSS), Java",PG diploma,Centre for Development of Advanced Computing (C-DAC),Cutshort Certified React.js - Basic,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Terralogic,2.8,"Node.js, Express.js, MongoDB, Next.js, React.js, Docker, MySQL, Linux basics , HTML5, Cascading Style Sheets (CSS), JavaScript, Bootstrap, Angular, TypeScript",Bachelor of Technology - BTech,Rai University,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Keychain,2.8,"REST APIs, HTML, SASS, C (Programming Language), Software Development, MongoDB, SQL, Redux.js, Machine Learning, Amazon Web Services (AWS), Data Structures, Git, Full-Stack Development, React.js, MERN Stack, Front-end Development, Algorithms, Software, Computer Science, JavaScript, Python (Programming Language), C++, Java, Cascading Style Sheets (CSS), HTML5 , Node.js, Back-End Web Development",Bachelor of Engineering - BE,"Birla Institute of Technology and Science, Pilani",,Delhi,Delhi,India,frontendFinal
