current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Frontend Developer,Agile Labs,3.7,"jQuery, Bootstrap (Framework), JavaScript, Css, HTML, React.js",HKBK College of Engineering,Vivekananda vidya kendra,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,RORIRI SOFT,0.5,"TypeScript, MERN Stack, Mongoose, MongoDB, Web Development, Web Design, WordPress, HTML, HTML5, Cascading Style Sheets (CSS), Bootstrap (Framework), JavaScript, React.js, Front-End Design, Front-End Development, Full-Stack Development, Responsiveness, Skill Development, Engineering, English, Training, Communication, Leadership, Self-Motivation, Quick Study",Bachelor of Engineering - BE,JP College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Associate Software Engineer,Mphasis,3.8,"Responsive Web Design, Cascading Style Sheets (CSS), Angular, TypeScript, REST APIs, Test-Driven Development, Agile Methodologies, Engineering, Python (Programming Language), Java, Web Development",Bachelor's degree,JNTUH College of Engineering Hyderabad,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,ChampSoft,5.4,"Vuex, HTML5, CSS, JS, Vue JS, React JS, Web Accessibility,, Web Content Accessibility Guidelines (WCAG), JavaScript, Git, Cascading Style Sheets (CSS), Vue.js, React.js, Core Java, HTML, Java",Bachelor's degree,Meerut Institute of Engineering and Technology(MIET),"Udacity React Nanodegree, Core Java, SQL, Shakuntala Devi 5 day challenge
, Hackerrank Java, Hackerrank Java, Hackerrank Java, Ultimate Java development and certificaion course, Android Development, Azure ",Bengaluru,Karnataka,India,frontendFinal
Front End Lead,Rewardz,4.8,"Responsive Web Design, Progressive Web Applications (PWAs), Angular, Team Management, GatsbyJS, Git, React.js, HTML, scss, Cascading Style Sheets (CSS), Database Management System (DBMS), Android Studio, Full-Stack Development, JavaScript, SQL, Microsoft Office, AngularJS, Front-End Development",BE - Bachelor of Engineering,PES University,"Design a User Experience for Social Good & Prepare for Jobs, Build Dynamic User Interfaces (UI) for Websites, Conduct UX Research and Test Early Concepts, Create High-Fidelity Designs and Prototypes in Figma, Build Wireframes and Low-Fidelity Prototypes, Start the UX Design Process: Empathize, Define, and Ideate, Foundations of User Experience (UX) Design, Angular - The complete guide, Git Complete - The definitive, step-by-step guide to Git, Frontend Fundamentals , Hackerrank certified Problem Solving(Basic), Machine Learning, Networking Protocols",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,CMAAN TECHNOLOGIES,0.2,"React.js, Web Development, Spring MVC, HTML, PL/SQL, Hibernate, Programming, Data Structures, Algorithms, GitHub, Coordination Skills, Written Communication, Software Architecture, Clean Coding, JavaSE, MySQL, Soft Skills, Soft Skills Training, Communication, Java Development, Public Speaking, Microsoft Excel, Natural Language Processing (NLP), Teamwork, Problem Solving, DSA, Object-Oriented Programming (OOP), Database Management System (DBMS), C++, SQL, Python (Programming Language), English, Microsoft PowerPoint, Java",Bachelor of Technology - BTech,"Maulana Abul Kalam Azad University of Technology, West Bengal formerly WBUT","Tata Group - Cybersecurity Analyst Job Simulation, Soft Skills, The Joy of Computing Using Python",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Mphasis,6.2,"GitHub, React Native, CSS3, React.js, Tailwind CSS, JSON, Spoken English, English, Document Object Model (DOM), Creative Problem Solving, Agile Software Development, Web Applications, Angular Material, TypeScript, Microsoft Visual Studio Code, Front-End Development, Problem Solving, Object-Oriented Programming (OOP), Software Development, Computer Science, Data Structures, Responsive Web Design, HTML5, Java, Team Management, Communication, Angular, Web Development, HTML, Cascading Style Sheets (CSS), Git, C, JavaScript, AngularJS, Bootstrap",Bachelor of Technology - BTech,Jaypee University Anoopshahr,"Html/Css, Cloud Computing Basics (Cloud 101), Java Tutorial for Complete Beginners, Data Science Math Skills, Data Science Math Skills, Git & GitHub Crash Course, Introduction to Web Design and Development, Google Digital Marketing Garage Certification, Data Processing Specialist",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Omega Healthcare Management Services,4.7,"Agile Software Development, Quick learner , Mentoring, Code Refactoring, Code Review, Problem Solving, Debugging Code, JSON, SASS, Agile Methodologies, Requirements Analysis, Analytical Skills, Accountability, TFS, Jira, Git, NgRx, RxJS, Angular CLI, TypeScript, JavaScript, Angular Material, Bootstrap , Cascading Style Sheets (CSS), HTML, Angular, Front-End Development",Government Engineering College Krishnaraja pete,Visvesvaraya Technological University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Logycent,3.6,"Tailwind CSS, Jira, Android Studio, Version Control, Figma (Software), Business Requirements, Test Automation, Performance Testing, Unit Testing, Web Services API, Software Development, Web Development, Front-End Development, Git, HTML5, ASP.NET, SQL, React Native, React.js, JavaScript, Bootstrap, Cascading Style Sheets (CSS), HTML, Cutshort",Bachelor of Engineering - BE,"G.H. Raisoni College of Engineering(GHRCE), Nagpur ",Meta React Native Specialization,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Freelance (Self employed),15.0,"JavaScript, HTML, Cascading Style Sheets (CSS), HTML5, Bootstrap (Framework), CSS Flexbox, React.js, Node.js, SQL, PL/SQL, Microsoft SQL Server, Search Engine Marketing (SEM), Google Ads, Front-End Development, Convincing People, Interpersonal Communication, Data Entry, Conflict Resolution, Customer Support, Spelling, Communication, Search Engine Optimization (SEO), Digital Strategy, Off-Page SEO, Real Property",Bachelor of Science - BS,Bachelor of science,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,YesGoBus Pvt Ltd ,3.2,"React.js, JavaScript, SCSS, API Testing, Application Programming Interfaces (API), Responsive Web Design, HTML5, CSS3, Manual Testing, Document Object Model (DOM), ES6, Axios, REST APIs, JSON, React Hooks, React Router, Material UI, Bootstrap (Framework), Git, GitHub, HTML, Cascading Style Sheets (CSS), Tailwind CSS, SQL, Python (Programming Language), C (Programming Language), Web Development, Databases, Postman API, Figma (Software), Microsoft Visual Studio Code, PyCharm, Atom, Oracle Database, Time Management, Teamwork, Easily Adaptable, Flexibility , Problem Solving, Microsoft Word, Microsoft PowerPoint, Microsoft Excel",Bachelor of Technology - B.Tech,ShriRam Group of Colleges,"VIRTUAL LABS : IIT DELHI, Ethical Hacking & Cyber Security, Enterpreneurship Awareness Camp ",Bengaluru,Karnataka,India,frontendFinal
Software Engineer II ,IBM,6.6,"Go (Programming Language), MongoDB, Next.js, Web Applications, Monorepo, Angular,  storybook,  figma,  design system, React.js, JavaScript, angular, Python (Programming Language), Core Java, HTML, Cascading Style Sheets (CSS), SQL, Angular Command Line Interface (CLI), Node.js, Leadership, Problem Solving, Redux Thunk, Redux, RxJS, Angular Material, Bootstrap",Bachelor of Engineering - BE,BANGALORE Jobs,,Bengaluru,Karnataka,India,frontendFinal
Lead Software Engineer,Capgemini,4.9,"Sonarqube, Version Control, System Development, Angular 9, Angular, Angular Material, Front-End Development, TypeScript, JavaScript, HTML5, Cascading Style Sheets (CSS), Problem Solving, Coding Standards, Analytical Skills, Front-end Development, Agile Methodologies, Debugging, Bootstrap, Git, Azure DevOps, Java, C (Programming Language), Python (Programming Language), Computer Programming",Advanced Certificate Program in Full Stack Software Development,"E& ICT Academy, Indian Institute of Technology",,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,HARMAN India,14.1,"Front-End Development, React , Redux, React.js, JavaScript, Redux.js, Tailwind CSS, Product Data Management (PDM), Data Management, Data Modeling, Stibo Systems PIM, Stibo developer , Project Management, Product Master Data Management / Product Information Management, Multidomain Master Data Management, MySQL, Python (Programming Language), Electrical Engineering, Design Failure Mode and Effect Analysis (DFMEA), Power Generation, Transformer, Analytical Skills, Microsoft Excel, Microsoft Office, Microsoft Word, CATIA, Microsoft PowerPoint, HTML, Management, Public Speaking, Teamwork, Communication, Electric Vehicles, Project Team Management, Process Improvement, Leadership",BTech - Bachelor of Technology,National Institute of Technology Jamshedpur,"DEV 250 - JavaScript Business Rules, Front-End Web Development, Data model 240, Digital leader",,Jharkhand,India,frontendFinal
Senior Software Engineer,Accolite,7.8,"GitHub Copilot, Micro frontend architecture, NgRx, Redux.js, RxJS, AngularJS, StencilJS, Continuous Integration and Continuous Delivery (CI/CD), GitHub, Karma, Jasmine Framework, Jest, Web Accessibility, Micro frontend, Java, React.js, HTML, Cascading Style Sheets (CSS), Micro Frontend architecture, Responsive Web Design, Responsiveness, Web Development, Jira, Git, Data Structures, User Interface Design, Agile Development, Test-Driven Development, Unit Testing, Object-Oriented Programming (OOP), Microsoft Visual Studio Code, Programming Languages, Communication, Spring boot, SQL, Postman, Database Management System (DBMS)",Bachelor of Technology - BTech,"C. V. Raman Global University, Bhubaneswar","SQL, CCNA: Enterprise Networking, Security, and Automation, CCNA: Introduction to Networks, CCNA: Switching, Routing, and Wireless Essentials, Full Stack Mern Bootcamp, Python(Basic), Programming for Everybody(Getting Started with Python), Business English Certificate(BEC), PCAP: Programming Essentials in Python",Bengaluru,Karnataka,India,frontendFinal
Member of Technical Staff,PayPal,10.2,"Frontend, JavaScript, Cascading Style Sheets (CSS), Web Performance, Penetration Testing, HTML, Java, ES6, GIT, React.js, Angular, Ethical Hacking",Bachelor's degree,"PSIT COLLEGE OF ENGINEERING, KANPUR","Front-End Web Developer Nanodegree, Certified Ethical Hacker (C|EH)",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,LycaDigital,3.1,"AngularJS, REST APIs, Bootstrap , Web Development, Front-End Development, UI Developer , HTML, Cascading Style Sheets (CSS), Bootstrap, JavaScript, React.js, Tailwind CSS, Project Management, English, Research, Training, Communication, Engineering",Bachelor's of Engineering,"Akshaya Institute of Technology, TUMKUR DIST",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Lowe's India,6.9,"Server Side JavaScript, Git, Webpack, Context Api, React.js , React Hooks, Micro Front-end Design, ECMAScript, context api, web vital, Software Design, Web Engineering, HTML5, Jest, TypeScript, JavaScript, Cascading Style Sheets (CSS), Front-end Development, HTML, React.js, Redux.js, Agile Methodologies",Bachelor of Technology,"ITM University, Gurgaon","Git Essential Training, Learning Redux Toolkit, React.js Essential Training, The Complete React Developer Course (w/ Hooks and Redux)",Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Health Pro,0.9,"Next.js, React.js, TypeScript, Redux.js, RTK Query, REST APIs, Tailwind CSS, Material-UI, Firebase, JSON, User Interface Design, Computer Science Education, Computer Science, Repositories, Mobile User Interface Design, User Interaction, Web Projects, Responsive Web Design, Front-End Development, GitHub, Git, JavaScript, Web Technologies, Cascading Style Sheets (CSS), HTML5",Bachelor of Engineering - BE,Aalim Muhammed Salegh College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Holistic Learning,4.1,"React.js, Front-End Development, Web Development, Search Engine Optimization (SEO), Content Writing, Digital Marketing, Blog writing, HTML5, Bootstrap, Cascading Style Sheets (CSS), JavaScript, JSON, Article Writing, Blog Post, HTML",Master of Technology,People's University," JavaScript – Basics to Advanced [step by step (2021)], CSS – Basics to Advanced for Front End Development (2021), HTML5 - From Basics to Advanced Level (2021), , 2021 SEO Training Masterclass: Beginner SEO to Advanced SEO, The Complete Digital Marketing Course - 12 Courses in 1",Bengaluru,Karnataka,India,frontendFinal
,,,"Express.js, Node.js, HTML5, Web Development, Software Development, Object-Oriented Programming (OOP), Bootstrap (Framework), Front-End Development, HTML, CSS Flexbox, JavaScript, Cascading Style Sheets (CSS), English, C++, C (Programming Language), Engineering",Bachelor of Technology - BTech,KIIT - Kalinga Institute of Industrial Technology,"CSS(Basic), Front End | Full Stack Web Development, Problem Solving (Basic), Problem Solving (Intermediate)",Bengaluru,Karnataka,India,frontendFinal
